cid,record_id,Country,age,gender,marital,educ,educ_other,child_dependants,Regions,healthtype_2,role,role_other,healthtype,If_Yes,jobrole,train_years,experience_1,experience_2,experience_3,experience_4,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
hcw_8797,384,Uganda,26,2,2,NULL,NULL,2,Central 1,1,7,Laboratory Technician,10,2,1,NULL,1,2,1,1,5,5,7,7,7,7,6,6,2,6,6,6,2,4,5,6,6,3,7,7,7,6,1,6,1,1
hcw_8798,385,Uganda,29,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,3,2,2,2,2,2,2,6,6,2,6,6,6,6,6,6,2,2,2,6,6,6,6,6,6,6,3,6,5,5
hcw_8799,386,Uganda,28,1,1,NULL,NULL,4,Kampala,2,8,NULL,12,NULL,1,NULL,2,2,2,2,5,5,5,5,6,6,5,6,5,7,5,5,6,6,2,6,6,5,6,7,7,6,6,2,2,5
hcw_8800,387,Uganda,22,2,1,NULL,NULL,6,Central 1,1,7,Laboratory assistant ,10,2,2,NULL,2,2,1,2,2,2,7,6,6,7,7,7,2,7,6,6,2,4,6,7,6,2,7,7,6,5,2,5,2,2
hcw_8801,388,Uganda,25,2,1,NULL,NULL,6,Central 1,1,6,NULL,5,1,1,NULL,1,3,1,3,6,5,6,6,6,6,6,6,6,7,6,6,6,2,6,7,7,6,7,7,2,6,7,3,2,2
hcw_8802,389,Uganda,23,1,1,NULL,NULL,6,Central 1,1,5,NULL,1,1,1,NULL,1,3,1,1,1,1,5,7,7,7,3,6,6,6,6,6,1,1,7,7,7,2,7,7,6,7,6,6,5,1
hcw_8803,390,Uganda,23,2,1,NULL,NULL,6,Kampala,2,7,Laboratory Technician,10,1,5,NULL,2,2,1,2,2,1,2,7,2,6,2,6,2,7,2,NULL,6,6,6,7,6,6,7,7,6,6,6,6,1,1
hcw_8804,391,Uganda,27,2,1,NULL,NULL,6,Kampala,1,10,NULL,10,NULL,1,NULL,2,2,1,1,6,6,7,6,6,7,5,7,2,7,5,7,7,4,7,6,7,4,6,4,2,2,6,2,2,2
hcw_8805,392,Uganda,38,2,3,NULL,NULL,3,South Western,2,7,Laboratory practitioner,7,2,1,NULL,1,1,1,1,7,5,6,4,6,7,6,7,1,7,6,6,7,6,6,7,6,6,7,7,4,2,6,3,2,2
hcw_8806,393,Uganda,28,2,1,NULL,NULL,6,Kampala,1,2,NULL,2,1,1,NULL,1,2,1,1,5,5,6,6,5,6,6,6,6,6,6,6,7,4,6,6,6,4,6,6,2,6,2,3,3,3
